Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2019	12/16/2020	8217775
Hon.	Khanna	Rohit		O	CA17	2019	8/12/2020	8217503
Hon.	Khanna	Rohit		P	CA17	2019	2/12/2019	9114372
Hon.	Khanna	Rohit		P	CA17	2019	2/15/2019	9114396
Hon.	Khanna	Rohit		P	CA17	2019	3/8/2019	9114457
Hon.	Khanna	Rohit		P	CA17	2019	4/11/2019	9114526
Hon.	Khanna	Rohit		P	CA17	2019	5/10/2019	9114649
Hon.	Khanna	Rohit		P	CA17	2019	6/11/2019	9115039
Hon.	Khanna	Rohit		P	CA17	2019	7/11/2019	9115123
Hon.	Khanna	Rohit		P	CA17	2019	8/6/2019	9115234
Hon.	Khanna	Rohit		P	CA17	2019	9/11/2019	9115384
Hon.	Khanna	Rohit		P	CA17	2019	10/16/2019	9115484
Hon.	Khanna	Rohit		P	CA17	2019	11/12/2019	8216662
Hon.	Khanna	Rohit		P	CA17	2019	12/11/2019	8216805
Hon.	Khanna	Rohit		X	CA17	2019	4/15/2020	30009793
