Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2023	2/27/2025	8220779
Hon.	Khanna	Rohit		O	CA17	2023	8/12/2024	8220593
Hon.	Khanna	Rohit		P	CA17	2023	2/7/2023	8219353
Hon.	Khanna	Rohit		P	CA17	2023	3/3/2023	8219417
Hon.	Khanna	Rohit		P	CA17	2023	4/7/2023	8219444
Hon.	Khanna	Rohit		P	CA17	2023	5/8/2023	8219521
Hon.	Khanna	Rohit		P	CA17	2023	6/12/2023	8219783
Hon.	Khanna	Rohit		P	CA17	2023	7/11/2023	8219826
Hon.	Khanna	Rohit		P	CA17	2023	8/7/2023	8219876
Hon.	Khanna	Rohit		P	CA17	2023	9/6/2023	8219953
Hon.	Khanna	Rohit		P	CA17	2023	10/6/2023	8219992
Hon.	Khanna	Rohit		P	CA17	2023	11/8/2023	8220039
Hon.	Khanna	Rohit		P	CA17	2023	12/6/2023	8220067
Hon.	Khanna	Rohit		P	CA17	2023	1/4/2024	8220092
Hon.	Khanna	Rohit		X	CA17	2023	4/23/2024	8220222
