Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2021	1/24/2023	8219341
Hon.	Khanna	Rohit		O	CA17	2021	8/10/2022	8219143
Hon.	Khanna	Rohit		P	CA17	2021	2/16/2021	8217856
Hon.	Khanna	Rohit		P	CA17	2021	3/12/2021	8217894
Hon.	Khanna	Rohit		P	CA17	2021	4/16/2021	8217938
Hon.	Khanna	Rohit		P	CA17	2021	5/14/2021	8218031
Hon.	Khanna	Rohit		P	CA17	2021	6/10/2021	8218109
Hon.	Khanna	Rohit		P	CA17	2021	7/13/2021	8218147
Hon.	Khanna	Rohit		P	CA17	2021	8/13/2021	8218261
Hon.	Khanna	Rohit		P	CA17	2021	9/15/2021	8218338
Hon.	Khanna	Rohit		P	CA17	2021	10/14/2021	8218398
Hon.	Khanna	Rohit		P	CA17	2021	11/9/2021	8218426
Hon.	Khanna	Rohit		P	CA17	2021	12/7/2021	8218490
Hon.	Khanna	Rohit		X	CA17	2021	3/17/2022	8218611
