Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2020	12/22/2021	8218509
Hon.	Khanna	Rohit		O	CA17	2020	7/29/2021	8218200
Hon.	Khanna	Rohit		P	CA17	2020	1/9/2020	8216879
Hon.	Khanna	Rohit		P	CA17	2020	2/10/2020	8216965
Hon.	Khanna	Rohit		P	CA17	2020	3/9/2020	8217060
Hon.	Khanna	Rohit		P	CA17	2020	4/20/2020	8217164
Hon.	Khanna	Rohit		P	CA17	2020	5/13/2020	8217213
Hon.	Khanna	Rohit		P	CA17	2020	6/17/2020	8217329
Hon.	Khanna	Rohit		P	CA17	2020	7/17/2020	8217394
Hon.	Khanna	Rohit		P	CA17	2020	8/17/2020	8217557
Hon.	Khanna	Rohit		P	CA17	2020	9/17/2020	8217653
Hon.	Khanna	Rohit		P	CA17	2020	10/21/2020	8217686
Hon.	Khanna	Rohit		P	CA17	2020	11/20/2020	8217740
Hon.	Khanna	Rohit		P	CA17	2020	12/16/2020	8217777
Hon.	Khanna	Rohit		P	CA17	2020	1/15/2021	8217812
Hon.	Khanna	Rohit		X	CA17	2020	4/26/2021	30013211
