Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2024	2/4/2026	8221318
Hon.	Khanna	Rohit		O	CA17	2024	8/13/2025	9115596
Hon.	Khanna	Rohit		P	CA17	2024	2/5/2024	8220127
Hon.	Khanna	Rohit		P	CA17	2024	3/6/2024	8220173
Hon.	Khanna	Rohit		P	CA17	2024	4/5/2024	8220192
Hon.	Khanna	Rohit		P	CA17	2024	5/6/2024	8220252
Hon.	Khanna	Rohit		P	CA17	2024	6/5/2024	8220451
Hon.	Khanna	Rohit		P	CA17	2024	7/8/2024	8220534
Hon.	Khanna	Rohit		P	CA17	2024	8/7/2024	8220570
Hon.	Khanna	Rohit		P	CA17	2024	9/6/2024	8220626
Hon.	Khanna	Rohit		P	CA17	2024	10/4/2024	8220660
Hon.	Khanna	Rohit		P	CA17	2024	11/8/2024	8220674
Hon.	Khanna	Rohit		P	CA17	2024	12/5/2024	8220691
Hon.	Khanna	Rohit		P	CA17	2024	1/8/2025	8220711
Hon.	Khanna	Rohit		X	CA17	2024	5/9/2025	8220874
