Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Khanna	Rohit		A	CA17	2018	12/16/2020	8217774
Hon.	Khanna	Rohit		G	CA17	2018	2/7/2018	9112368
Hon.	Khanna	Rohit		O	CA17	2018	8/8/2019	9115242
Hon.	Khanna	Rohit		P	CA17	2018	2/11/2018	9112444
Hon.	Khanna	Rohit		P	CA17	2018	3/9/2018	9112538
Hon.	Khanna	Rohit		P	CA17	2018	4/13/2018	9112649
Hon.	Khanna	Rohit		P	CA17	2018	5/10/2018	9112814
Hon.	Khanna	Rohit		P	CA17	2018	6/8/2018	9113299
Hon.	Khanna	Rohit		P	CA17	2018	7/11/2018	9113509
Hon.	Khanna	Rohit		P	CA17	2018	8/10/2018	9113657
Hon.	Khanna	Rohit		P	CA17	2018	9/12/2018	9113779
Hon.	Khanna	Rohit		P	CA17	2018	10/10/2018	9114060
Hon.	Khanna	Rohit		P	CA17	2018	11/9/2018	9114153
Hon.	Khanna	Rohit		P	CA17	2018	12/10/2018	9114222
Hon.	Khanna	Rohit		P	CA17	2018	1/11/2019	9114288
Hon.	Khanna	Rohit		P	CA17	2018	2/15/2019	9114397
Hon.	Khanna	Rohit		X	CA17	2018	4/30/2019	9114582
