tax_year,recipient_name,city,state,total_amount_usd,n_grants
2022,GEORGETOWN UNIVERSITY,WASHINGTON,DC,15000.0,1
2022,ROCK-N-ROLL HALL OF FAME,CLEVELAND,OH,12500.0,1
2022,JOHN HOPKINS UNIVERSITY,BALTIMORE,MD,10000.0,1
2022,UH RAINBOW BABIES & CHILDREN'S HOSPITAL,CLEVELAND,OH,10000.0,1
2022,NCH CENTER PHILANTHROPY,NAPLES,FL,10000.0,1
2022,NCH PHILANTHROPIC CENTER,NAPLES,FL,10000.0,1
2022,EVAN'S SCHOLARSHIP FOUNDATION,GOLF,IL,10000.0,1
2022,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,10000.0,1
2022,GDAS CANCER CLINIC,RICHARDSON,TX,10000.0,1
2022,UNITED WAY OF GREATER CLEVELAND,CLEVELAND,OH,10000.0,1
2022,AKSHAYA PATRA,STONEHAM,MA,10000.0,1
2022,HAWKEN SCHOOL,CHESTERLAND,OH,7500.0,1
2022,MAKE-A-WISH FOUNDATION,PHOENIX,AZ,5000.0,1
2022,AMERICAN CANCER SOCIETY,CLEVELAND,OH,5000.0,1
2022,BOOTS IN THE SAND,NAPLES,FL,5000.0,1
2022,CLEVELAND MUSEUM OF ART,CLEVELAND,OH,5000.0,1
2022,COLUMBIA UNIVERSITY,NEW YORK,NY,5000.0,1
2022,FEDERATION OF INDIA COMMUNITY ASSC OF NE OHIO,SOLON,OH,5000.0,1
2022,NEIGHBORHOOD HEALTH CLINIC,CLEVELAND,OH,5000.0,1
2022,RONALD MCDONALD HOUSE CHARITIES OF NE OHIO,CLEVELAND,OH,5000.0,1
